day_slot,is_randomized,weather,temperature,location,activity,jbsteps30pre_bucket,send,response,user_id,study_day,is_weekday,activity_level,zero_tendency,jbsteps30pre
3,True,Clear,temp_warm,Work,STILL,steps_q3,activity,bad,1,23,True,mid,common,91
4,True,Clear,temp_warm,Healthcare,STILL,steps_zero,activity,no_response,1,23,True,mid,common,0
5,True,Clear,temp_warm,Store,STILL,steps_high,non_activity,no_response,1,23,True,mid,common,4535
1,True,Clear,temp_warm,Home,STILL,steps_q5,activity,bad,1,24,True,mid,common,225
2,False,Overcast,temp_mild,Home,STILL,steps_q1,no_send,no_send,1,24,True,mid,common,1
3,False,Clear,temp_warm,Home,STILL,steps_q7,no_send,no_send,1,24,True,mid,common,409
4,True,MostlyCloudy,temp_warm,Home,STILL,steps_q6,non_activity,no_response,1,24,True,mid,common,300
5,True,Overcast,temp_hot,Home,STILL,steps_q2,non_activity,no_response,1,24,True,mid,common,56
1,True,MostlyCloudy,temp_cold,Home,STILL,steps_zero,activity,good,1,25,True,mid,common,0
2,True,Overcast,temp_mild,Work,STILL,steps_q2,activity,no_response,1,25,True,mid,common,61
3,False,MostlyCloudy,temp_cool,Home,STILL,steps_q6,no_send,no_send,1,25,True,mid,common,286
4,True,MostlyCloudy,temp_cool,Work,STILL,steps_q4,activity,bad,1,25,True,mid,common,141
5,True,Overcast,temp_cool,Home,STILL,steps_q2,activity,no_response,1,25,True,mid,common,62
1,True,Overcast,temp_cool,Home,STILL,steps_zero,non_activity,bad,1,26,True,mid,common,0
2,True,MostlyCloudy,temp_cool,Home,STILL,steps_q3,non_activity,no_response,1,26,True,mid,common,104
4,True,MostlyCloudy,temp_cool,University,STILL,steps_q5,activity,no_response,1,26,True,mid,common,168
1,False,Clear,temp_cool,Store,STILL,steps_zero,no_send,no_send,1,29,True,mid,common,0
2,False,PartlyCloudy,temp_cool,Store,STILL,steps_q7,no_send,no_send,1,29,True,mid,common,326
3,True,Overcast,temp_cool,Store,STILL,steps_q6,non_activity,no_response,1,29,True,mid,common,260
4,True,Overcast,temp_cool,Store,STILL,steps_q5,non_activity,no_response,1,29,True,mid,common,207
5,False,MostlyCloudy,temp_cool,Store,STILL,steps_zero,no_send,no_send,1,29,True,mid,common,0
1,True,MostlyCloudy,temp_freezing,Healthcare,STILL,steps_q8,activity,no_response,1,30,True,mid,common,475
2,False,Snow,temp_cool,Store,ON_MOVE,steps_high,no_send,no_send,1,30,True,mid,common,1204
3,True,Overcast,temp_cold,Restaurant,STILL,steps_q2,non_activity,good,1,30,True,mid,common,50
4,True,Overcast,temp_freezing,Restaurant,STILL,steps_zero,non_activity,good,1,30,True,mid,common,0
5,True,Overcast,temp_freezing,Park,STILL,steps_high,non_activity,good,1,30,True,mid,common,2989
1,True,Clear,temp_mild,Store,STILL,steps_q3,non_activity,good,1,31,True,mid,common,94
2,True,PartlyCloudy,temp_hot,Home,STILL,steps_q1,non_activity,no_response,1,31,True,mid,common,19
3,True,PartlyCloudy,temp_mild,Home,STILL,steps_q7,non_activity,no_response,1,31,True,mid,common,326
4,False,PartlyCloudy,temp_hot,Home,STILL,steps_zero,no_send,no_send,1,31,True,mid,common,0
5,True,Clear,temp_hot,Home,STILL,steps_q2,non_activity,no_response,1,31,True,mid,common,42
1,True,Overcast,temp_cold,University,STILL,steps_zero,non_activity,no_response,1,32,True,mid,common,0
2,False,Overcast,temp_cool,Home,STILL,steps_zero,no_send,no_send,1,32,True,mid,common,0
3,True,Overcast,temp_cool,University,STILL,steps_q2,activity,bad,1,32,True,mid,common,39
4,False,MostlyCloudy,temp_cool,University,STILL,steps_q5,no_send,no_send,1,32,True,mid,common,206
5,False,Clear,temp_cool,University,STILL,steps_q7,no_send,no_send,1,32,True,mid,common,341
1,True,Overcast,temp_mild,Home,STILL,steps_q6,activity,no_response,1,34,False,mid,common,252
2,False,Overcast,temp_mild,University,STILL,steps_q3,no_send,no_send,1,34,False,mid,common,74
3,False,Overcast,temp_mild,Home,STILL,steps_high,no_send,no_send,1,34,False,mid,common,1820
4,True,Overcast,temp_mild,University,STILL,steps_q4,activity,no_response,1,34,False,mid,common,124
5,False,PartlyCloudy,temp_mild,Home,STILL,steps_q1,no_send,no_send,1,34,False,mid,common,21
1,True,MostlyCloudy,temp_mild,University,STILL,steps_q6,activity,no_response,1,35,False,mid,common,295
2,True,Clear,temp_mild,University,STILL,steps_q2,activity,no_response,1,35,False,mid,common,57
3,True,Overcast,temp_cool,University,STILL,steps_q7,activity,good,1,35,False,mid,common,318
4,True,Clear,temp_mild,University,STILL,steps_high,activity,good,1,35,False,mid,common,959
5,False,Overcast,temp_mild,University,STILL,steps_q1,no_send,no_send,1,35,False,mid,common,19
1,True,Clear,temp_hot,Home,STILL,steps_q4,non_activity,no_response,1,36,True,mid,common,128
2,True,Clear,temp_warm,University,STILL,steps_q4,activity,no_response,1,36,True,mid,common,116
3,True,Clear,temp_hot,Home,STILL,steps_q7,activity,bad,1,36,True,mid,common,424
4,False,Clear,temp_warm,Home,STILL,steps_q6,non_activity,no_response,1,36,True,mid,common,255
5,True,Clear,temp_warm,Home,STILL,steps_q1,activity,no_response,1,36,True,mid,common,20
1,True,Overcast,temp_mild,Home,STILL,steps_zero,non_activity,no_response,1,37,True,mid,common,0
2,False,Overcast,temp_mild,Home,STILL,steps_q2,non_activity,bad,1,37,True,mid,common,64
4,False,PartlyCloudy,temp_mild,Home,STILL,steps_q4,no_send,no_send,1,37,True,mid,common,133
5,True,MostlyCloudy,temp_cool,University,STILL,steps_q2,activity,bad,1,37,True,mid,common,62
1,True,Clear,temp_cold,Restaurant,STILL,steps_q3,non_activity,bad,1,38,True,mid,common,78
2,True,PartlyCloudy,temp_cold,Work,STILL,steps_q6,non_activity,no_response,1,38,True,mid,common,291
3,False,Clear,temp_cold,Restaurant,ON_MOVE,steps_q5,no_send,no_send,1,38,True,mid,common,215
4,True,Clear,temp_cold,Work,STILL,steps_high,activity,bad,1,38,True,mid,common,974
5,True,Clear,temp_cold,Work,STILL,steps_q5,activity,no_response,1,38,True,mid,common,206
1,True,PartlyCloudy,temp_mild,Restaurant,STILL,steps_high,non_activity,no_response,1,39,True,mid,common,1061
2,True,MostlyCloudy,temp_warm,ElectronicsStore,STILL,steps_q3,activity,no_response,1,39,True,mid,common,82
3,False,Clear,temp_warm,University,STILL,steps_high,no_send,no_send,1,39,True,mid,common,976
4,True,MostlyCloudy,temp_warm,ElectronicsStore,STILL,steps_zero,non_activity,no_response,1,39,True,mid,common,0
5,False,Clear,temp_hot,Store,STILL,steps_zero,no_send,no_send,1,39,True,mid,common,0
1,True,Clear,temp_warm,Home,STILL,steps_q7,non_activity,bad,1,40,True,mid,common,337
2,True,Clear,temp_warm,Home,STILL,steps_high,activity,good,1,40,True,mid,common,3958
3,True,Clear,temp_warm,Home,STILL,steps_q8,activity,no_response,1,40,True,mid,common,611
4,False,Clear,temp_warm,Home,STILL,steps_q6,no_send,no_send,1,40,True,mid,common,238
5,True,Clear,temp_warm,Home,STILL,steps_q4,activity,no_response,1,40,True,mid,common,136
1,False,Rain,temp_cool,Home,STILL,steps_q8,no_send,no_send,1,42,False,mid,common,591
2,False,Overcast,temp_cool,Home,STILL,steps_q6,no_send,no_send,1,42,False,mid,common,291
3,True,Overcast,temp_cool,Home,STILL,steps_q6,non_activity,no_response,1,42,False,mid,common,252
4,False,Overcast,temp_cool,Home,STILL,steps_q2,no_send,no_send,1,42,False,mid,common,66
5,False,Overcast,temp_cool,Home,STILL,steps_q5,non_activity,no_response,1,42,False,mid,common,169
1,False,MostlyCloudy,temp_cool,Unknown,STILL,steps_q4,no_send,no_send,2,1,True,mid,common,151
2,False,Overcast,temp_cold,Home,STILL,steps_zero,no_send,no_send,2,1,True,mid,common,0
3,True,MostlyCloudy,temp_cold,Home,STILL,steps_q6,activity,good,2,1,True,mid,common,293
4,True,MostlyCloudy,temp_cold,Park,STILL,steps_zero,activity,good,2,1,True,mid,common,0
5,True,Clear,temp_cold,Work,STILL,steps_zero,non_activity,no_response,2,1,True,mid,common,0
1,True,Overcast,temp_cool,Healthcare,STILL,steps_zero,non_activity,no_response,2,2,True,mid,common,0
2,True,PartlyCloudy,temp_cool,Healthcare,STILL,steps_q4,non_activity,no_response,2,2,True,mid,common,129
3,True,Overcast,temp_cool,Healthcare,STILL,steps_zero,non_activity,good,2,2,True,mid,common,0
5,False,Clear,temp_cool,Healthcare,STILL,steps_q4,no_send,no_send,2,2,True,mid,common,148
1,True,Overcast,temp_warm,Home,STILL,steps_q4,non_activity,good,2,3,True,mid,common,155
2,True,MostlyCloudy,temp_mild,Store,STILL,steps_high,activity,good,2,3,True,mid,common,983
3,True,MostlyCloudy,temp_warm,Home,STILL,steps_q5,non_activity,good,2,3,True,mid,common,220
4,True,Overcast,temp_mild,Store,STILL,steps_zero,non_activity,no_response,2,3,True,mid,common,0
5,True,Overcast,temp_mild,Home,STILL,steps_q7,non_activity,good,2,3,True,mid,common,331
1,True,Overcast,temp_mild,University,STILL,steps_zero,non_activity,bad,2,4,True,mid,common,0
2,True,Overcast,temp_mild,Home,STILL,steps_q7,non_activity,no_response,2,4,True,mid,common,447
3,False,Overcast,temp_mild,Home,STILL,steps_q7,no_send,no_send,2,4,True,mid,common,454
4,True,Rain,temp_warm,University,STILL,steps_q4,non_activity,no_response,2,4,True,mid,common,135
5,True,Overcast,temp_warm,Home,STILL,steps_q5,non_activity,good,2,4,True,mid,common,174
1,False,Rain,temp_warm,Store,STILL,steps_q8,no_send,no_send,2,5,True,mid,common,485
2,True,Overcast,temp_mild,Home,STILL,steps_q6,activity,no_response,2,5,True,mid,common,303
3,True,PartlyCloudy,temp_warm,University,STILL,steps_zero,non_activity,bad,2,5,True,mid,common,0
4,False,Overcast,temp_mild,Home,STILL,steps_q4,no_send,no_send,2,5,True,mid,common,124
5,True,PartlyCloudy,temp_hot,Store,STILL,steps_zero,non_activity,no_response,2,5,True,mid,common,0
1,False,Overcast,temp_cool,Home,STILL,steps_q7,no_send,no_send,2,6,False,mid,common,326
2,True,Rain,temp_cool,Home,STILL,steps_high,activity,no_response,2,6,False,mid,common,1642
3,True,Overcast,temp_cool,Home,STILL,steps_zero,activity,no_response,2,6,False,mid,common,0
4,True,Overcast,temp_cool,Home,STILL,steps_q7,activity,good,2,6,False,mid,common,329
5,False,Overcast,temp_cool,Home,STILL,steps_q6,no_send,no_send,2,6,False,mid,common,233
1,False,MostlyCloudy,temp_cool,Home,STILL,steps_q8,no_send,no_send,2,7,False,mid,common,519
3,False,MostlyCloudy,temp_cool,Home,STILL,steps_zero,no_send,no_send,2,7,False,mid,common,0
4,True,MostlyCloudy,temp_cool,Home,STILL,steps_high,non_activity,no_response,2,7,False,mid,common,3293
5,True,MostlyCloudy,temp_cool,Store,ON_MOVE,steps_high,no_send,no_send,2,7,False,mid,common,1014
1,True,Clear,temp_cool,University,STILL,steps_q7,non_activity,good,2,8,True,mid,common,450
2,False,MostlyCloudy,temp_cool,University,STILL,steps_q7,no_send,no_send,2,8,True,mid,common,439
3,True,Overcast,temp_cool,University,STILL,steps_q7,activity,good,2,8,True,mid,common,411
4,False,Overcast,temp_cool,FurnitureStore,STILL,steps_q4,no_send,no_send,2,8,True,mid,common,144
5,True,Clear,temp_cool,University,ON_MOVE,steps_q6,no_send,no_send,2,8,True,mid,common,255
1,True,MostlyCloudy,temp_mild,Home,STILL,steps_q3,non_activity,no_response,2,9,True,mid,common,85
2,True,PartlyCloudy,temp_mild,University,STILL,steps_zero,activity,no_response,2,9,True,mid,common,0
3,True,Rain,temp_mild,University,STILL,steps_q6,non_activity,no_response,2,9,True,mid,common,300
4,False,PartlyCloudy,temp_hot,Home,STILL,steps_q2,non_activity,good,2,9,True,mid,common,45
5,True,Clear,temp_mild,Work,STILL,steps_q7,activity,no_response,2,9,True,mid,common,344
1,False,Clear,temp_cold,University,STILL,steps_q1,no_send,no_send,2,10,True,mid,common,36
2,True,Clear,temp_cold,Store,STILL,steps_q7,activity,bad,2,10,True,mid,common,460
3,True,Clear,temp_cool,Store,STILL,steps_zero,non_activity,bad,2,10,True,mid,common,0
4,False,Clear,temp_cold,Healthcare,STILL,steps_q5,no_send,no_send,2,10,True,mid,common,174
5,True,Clear,temp_cool,Store,STILL,steps_q1,non_activity,no_response,2,10,True,mid,common,18
1,False,Clear,temp_hot,Home,STILL,steps_q7,no_send,no_send,2,13,False,mid,common,423
2,True,MostlyCloudy,temp_hot,University,STILL,steps_q3,non_activity,no_response,2,13,False,mid,common,88
3,False,Overcast,temp_hot,Home,STILL,steps_q1,no_send,no_send,2,13,False,mid,common,18
4,True,MostlyCloudy,temp_warm,Home,STILL,steps_zero,non_activity,good,2,13,False,mid,common,0
5,True,PartlyCloudy,temp_warm,Home,STILL,steps_q7,non_activity,good,2,13,False,mid,common,371
1,False,Overcast,temp_cold,Gym,STILL,steps_q7,no_send,no_send,2,15,True,mid,common,397
2,False,Overcast,temp_cool,FurnitureStore,STILL,steps_q4,no_send,no_send,2,15,True,mid,common,144
3,True,MostlyCloudy,temp_cool,FurnitureStore,STILL,steps_q4,non_activity,no_response,2,15,True,mid,common,120
4,False,Rain,temp_cold,Store,STILL,steps_q3,no_send,no_send,2,15,True,mid,common,107
5,False,Overcast,temp_cool,University,ON_MOVE,steps_q1,no_send,no_send,2,15,True,mid,common,21
1,True,MostlyCloudy,temp_mild,Home,STILL,steps_q4,activity,good,2,16,True,mid,common,139
2,False,Overcast,temp_cool,Home,STILL,steps_q8,non_activity,good,2,16,True,mid,common,479
3,False,Overcast,temp_mild,Store,STILL,steps_q2,no_send,no_send,2,16,True,mid,common,58
4,True,Overcast,temp_mild,Home,STILL,steps_q7,non_activity,good,2,16,True,mid,common,395
5,False,MostlyCloudy,temp_warm,Home,STILL,steps_q2,no_send,no_send,2,16,True,mid,common,45
1,True,Clear,temp_cool,Home,STILL,steps_q1,activity,no_response,2,18,True,mid,common,25
2,True,Overcast,temp_mild,Restaurant,STILL,steps_q2,activity,no_response,2,18,True,mid,common,63
3,True,Clear,temp_mild,University,STILL,steps_q6,activity,good,2,18,True,mid,common,291
4,True,Clear,temp_mild,University,STILL,steps_zero,non_activity,good,2,18,True,mid,common,0
5,False,Clear,temp_cool,Home,STILL,steps_zero,no_send,no_send,2,18,True,mid,common,0
1,False,Clear,temp_mild,Home,STILL,steps_q7,no_send,no_send,2,21,False,mid,common,445
2,False,Clear,temp_warm,Home,STILL,steps_high,no_send,no_send,2,21,False,mid,common,1168
3,False,Clear,temp_warm,University,STILL,steps_zero,no_send,no_send,2,21,False,mid,common,0
4,False,Clear,temp_warm,University,ON_MOVE,steps_q8,no_send,no_send,2,21,False,mid,common,572
5,True,PartlyCloudy,temp_mild,Home,ON_MOVE,steps_high,no_send,no_send,2,21,False,mid,common,1547
1,False,MostlyCloudy,temp_mild,Home,STILL,steps_zero,no_send,no_send,2,23,True,mid,common,0
3,True,PartlyCloudy,temp_warm,Home,STILL,steps_zero,non_activity,bad,2,23,True,mid,common,0
4,True,MostlyCloudy,temp_warm,University,STILL,steps_zero,activity,bad,2,23,True,mid,common,0
1,True,Clear,temp_hot,University,STILL,steps_zero,activity,no_response,2,25,True,mid,common,0
2,True,Clear,temp_warm,University,STILL,steps_zero,non_activity,no_response,2,25,True,mid,common,0
4,True,Clear,temp_warm,University,STILL,steps_q6,non_activity,no_response,2,25,True,mid,common,299
5,True,Clear,temp_warm,University,STILL,steps_high,non_activity,no_response,2,25,True,mid,common,940
1,True,PartlyCloudy,temp_warm,Home,STILL,steps_q8,activity,no_response,2,27,False,mid,common,637
2,True,Clear,temp_warm,Home,STILL,steps_q8,activity,good,2,27,False,mid,common,540
5,False,Clear,temp_mild,Home,STILL,steps_q7,no_send,no_send,2,27,False,mid,common,367
1,True,Clear,temp_cold,Home,STILL,steps_zero,activity,good,2,28,False,mid,common,0
2,True,Overcast,temp_cool,Home,STILL,steps_zero,activity,good,2,28,False,mid,common,0
3,True,Overcast,temp_cool,University,STILL,steps_q8,non_activity,no_response,2,28,False,mid,common,514
4,False,Overcast,temp_mild,Home,STILL,steps_q8,no_send,no_send,2,28,False,mid,common,805
5,True,Overcast,temp_cool,Home,STILL,steps_zero,activity,no_response,2,28,False,mid,common,0
1,False,Overcast,temp_mild,Home,STILL,steps_zero,no_send,no_send,2,29,True,mid,common,0
2,True,PartlyCloudy,temp_mild,Work,STILL,steps_q7,activity,good,2,29,True,mid,common,365
3,True,Rain,temp_mild,Home,STILL,steps_q1,activity,no_response,2,29,True,mid,common,20
4,False,PartlyCloudy,temp_cool,Home,STILL,steps_q1,no_send,no_send,2,29,True,mid,common,32
5,True,Clear,temp_mild,Work,STILL,steps_q2,activity,good,2,29,True,mid,common,41
1,False,Clear,temp_warm,Home,STILL,steps_q3,no_send,no_send,2,30,True,mid,common,84
2,False,Clear,temp_warm,Home,STILL,steps_q5,no_send,no_send,2,30,True,mid,common,220
3,False,Clear,temp_warm,Home,STILL,steps_q6,no_send,no_send,2,30,True,mid,common,235
4,True,Clear,temp_hot,Home,STILL,steps_q2,non_activity,good,2,30,True,mid,common,60
5,True,Clear,temp_mild,University,STILL,steps_q8,non_activity,no_response,2,30,True,mid,common,495
1,True,Overcast,temp_cool,Home,STILL,steps_zero,activity,no_response,2,32,True,mid,common,0
2,True,Overcast,temp_cool,Work,STILL,steps_high,activity,no_response,2,32,True,mid,common,3612
3,False,MostlyCloudy,temp_mild,Home,STILL,steps_zero,no_send,no_send,2,32,True,mid,common,0
4,False,Clear,temp_mild,Work,STILL,steps_zero,no_send,no_send,2,32,True,mid,common,0
5,False,Overcast,temp_cool,Home,STILL,steps_zero,no_send,no_send,2,32,True,mid,common,0
1,True,Clear,temp_mild,Healthcare,STILL,steps_q6,non_activity,good,2,33,True,mid,common,285
2,True,Clear,temp_mild,Healthcare,STILL,steps_zero,non_activity,bad,2,33,True,mid,common,0
3,True,Clear,temp_mild,Healthcare,STILL,steps_q2,activity,no_response,2,33,True,mid,common,42
4,True,Clear,temp_hot,Healthcare,STILL,steps_q6,non_activity,bad,2,33,True,mid,common,294
5,False,Clear,temp_mild,Store,STILL,steps_q1,no_send,no_send,2,33,True,mid,common,13
1,False,Overcast,temp_cold,Store,STILL,steps_q5,no_send,no_send,2,35,False,mid,common,166
2,True,Overcast,temp_cold,Home,STILL,steps_q2,non_activity,bad,2,35,False,mid,common,51
3,True,Overcast,temp_cold,Restaurant,STILL,steps_q7,activity,no_response,2,35,False,mid,common,382
4,False,Overcast,temp_cold,ClothingStore,ON_MOVE,steps_q1,no_send,no_send,2,35,False,mid,common,31
5,False,Overcast,temp_cold,Restaurant,STILL,steps_q6,no_send,no_send,2,35,False,mid,common,299
1,False,PartlyCloudy,temp_cool,Work,STILL,steps_q3,no_send,no_send,2,36,True,mid,common,91
2,False,Overcast,temp_mild,Work,STILL,steps_zero,no_send,no_send,2,36,True,mid,common,0
3,True,MostlyCloudy,temp_mild,Work,STILL,steps_q7,activity,no_response,2,36,True,mid,common,362
4,False,MostlyCloudy,temp_mild,Restaurant,STILL,steps_zero,no_send,no_send,2,36,True,mid,common,0
5,True,Clear,temp_cool,Home,STILL,steps_q8,non_activity,good,2,36,True,mid,common,679
1,True,Rain,temp_mild,University,STILL,steps_q2,activity,good,2,37,True,mid,common,52
3,False,PartlyCloudy,temp_mild,Healthcare,STILL,steps_q8,no_send,no_send,2,37,True,mid,common,466
4,True,Clear,temp_mild,Store,STILL,steps_q5,non_activity,good,2,37,True,mid,common,202
5,True,PartlyCloudy,temp_mild,Healthcare,STILL,steps_q3,non_activity,bad,2,37,True,mid,common,92
1,True,Clear,temp_warm,Home,STILL,steps_zero,non_activity,good,2,38,True,mid,common,0
2,True,PartlyCloudy,temp_hot,University,STILL,steps_q5,non_activity,no_response,2,38,True,mid,common,184
3,False,PartlyCloudy,temp_warm,Home,ON_MOVE,steps_q5,no_send,no_send,2,38,True,mid,common,173
4,False,Clear,temp_warm,Restaurant,ON_MOVE,steps_high,no_send,no_send,2,38,True,mid,common,1168
5,True,Clear,temp_mild,University,STILL,steps_q7,non_activity,good,2,38,True,mid,common,367
1,True,Overcast,temp_mild,Home,STILL,steps_zero,activity,no_response,2,39,True,mid,common,0
2,False,Overcast,temp_mild,Home,STILL,steps_q7,no_send,no_send,2,39,True,mid,common,365
3,True,Overcast,temp_mild,Home,STILL,steps_q8,activity,no_response,2,39,True,mid,common,480
4,True,Overcast,temp_mild,Home,STILL,steps_q6,non_activity,no_response,2,39,True,mid,common,295
5,False,Overcast,temp_mild,Home,STILL,steps_zero,no_send,no_send,2,39,True,mid,common,0
1,True,MostlyCloudy,temp_mild,Healthcare,STILL,steps_q2,non_activity,good,2,40,True,mid,common,56
2,True,PartlyCloudy,temp_cool,Store,STILL,steps_zero,non_activity,no_response,2,40,True,mid,common,0
3,False,Overcast,temp_mild,Store,STILL,steps_q6,no_send,no_send,2,40,True,mid,common,269
4,True,Overcast,temp_cool,Store,STILL,steps_q7,activity,bad,2,40,True,mid,common,392
5,False,Clear,temp_cool,Healthcare,STILL,steps_q6,no_send,no_send,2,40,True,mid,common,285
1,True,Fog,temp_cold,Store,STILL,steps_zero,non_activity,no_response,2,41,False,mid,common,0
3,True,Clear,temp_cold,Store,STILL,steps_q2,non_activity,good,2,41,False,mid,common,53
4,False,Clear,temp_cold,Store,STILL,steps_q7,no_send,no_send,2,41,False,mid,common,397
5,True,Clear,temp_cold,Store,STILL,steps_q4,non_activity,no_response,2,41,False,mid,common,133
