day_slot,is_randomized,weather,temperature,location,activity,jbsteps30pre_bucket,send,response,user_id,study_day,is_weekday,activity_level,zero_tendency,jbsteps30pre,uid
3,False,Clear,temp_cool,Store,STILL,steps_q3,0,no_send,1,16,True,mid,common,100,1
4,True,Clear,temp_cool,Store,STILL,steps_q7,2,bad,1,16,True,mid,common,416,1
2,True,PartlyCloudy,temp_mild,Work,STILL,steps_q2,1,no_response,1,18,True,mid,common,44,1
3,True,PartlyCloudy,temp_mild,Work,STILL,steps_zero,1,no_response,1,18,True,mid,common,0,1
4,True,Clear,temp_cool,Home,STILL,steps_zero,1,no_response,1,18,True,mid,common,0,1
5,False,Clear,temp_cool,Restaurant,STILL,steps_q7,0,no_send,1,18,True,mid,common,334,1
1,True,Clear,temp_mild,Home,STILL,steps_q6,1,no_response,1,20,False,mid,common,314,1
2,False,Clear,temp_warm,Home,STILL,steps_q7,0,no_send,1,20,False,mid,common,323,1
3,True,Clear,temp_warm,Home,STILL,steps_q6,2,no_response,1,20,False,mid,common,248,1
4,False,Clear,temp_warm,Home,STILL,steps_zero,0,no_send,1,20,False,mid,common,0,1
5,True,Clear,temp_cool,Home,STILL,steps_q6,1,no_response,1,20,False,mid,common,266,1
1,True,Clear,temp_cool,Home,STILL,steps_q7,1,good,1,21,False,mid,common,348,1
2,True,Clear,temp_cool,Home,STILL,steps_q3,2,no_response,1,21,False,mid,common,77,1
3,True,Clear,temp_mild,Home,STILL,steps_q8,2,bad,1,21,False,mid,common,704,1
4,False,Clear,temp_mild,Home,STILL,steps_q6,0,no_send,1,21,False,mid,common,275,1
5,True,Clear,temp_mild,Home,STILL,steps_high,2,good,1,21,False,mid,common,1092,1
1,True,Clear,temp_warm,FurnitureStore,STILL,steps_high,2,no_response,1,23,True,mid,common,907,1
3,True,Clear,temp_warm,Work,STILL,steps_q3,1,bad,1,23,True,mid,common,91,1
4,True,Clear,temp_warm,Healthcare,STILL,steps_zero,1,no_response,1,23,True,mid,common,0,1
5,True,Clear,temp_warm,Store,STILL,steps_high,2,no_response,1,23,True,mid,common,4535,1
1,True,Clear,temp_warm,Home,STILL,steps_q5,1,bad,1,24,True,mid,common,225,1
2,False,Overcast,temp_mild,Home,STILL,steps_q1,0,no_send,1,24,True,mid,common,1,1
3,False,Clear,temp_warm,Home,STILL,steps_q7,0,no_send,1,24,True,mid,common,409,1
4,True,MostlyCloudy,temp_warm,Home,STILL,steps_q6,2,no_response,1,24,True,mid,common,300,1
5,True,Overcast,temp_hot,Home,STILL,steps_q2,2,no_response,1,24,True,mid,common,56,1
1,True,MostlyCloudy,temp_cold,Home,STILL,steps_zero,1,good,1,25,True,mid,common,0,1
2,True,Overcast,temp_mild,Work,STILL,steps_q2,1,no_response,1,25,True,mid,common,61,1
3,False,MostlyCloudy,temp_cool,Home,STILL,steps_q6,0,no_send,1,25,True,mid,common,286,1
4,True,MostlyCloudy,temp_cool,Work,STILL,steps_q4,1,bad,1,25,True,mid,common,141,1
5,True,Overcast,temp_cool,Home,STILL,steps_q2,1,no_response,1,25,True,mid,common,62,1
1,True,Overcast,temp_cool,Home,STILL,steps_zero,2,bad,1,26,True,mid,common,0,1
2,True,MostlyCloudy,temp_cool,Home,STILL,steps_q3,2,no_response,1,26,True,mid,common,104,1
4,True,MostlyCloudy,temp_cool,University,STILL,steps_q5,1,no_response,1,26,True,mid,common,168,1
1,False,Clear,temp_cool,Store,STILL,steps_zero,0,no_send,1,29,True,mid,common,0,1
2,False,PartlyCloudy,temp_cool,Store,STILL,steps_q7,0,no_send,1,29,True,mid,common,326,1
3,True,Overcast,temp_cool,Store,STILL,steps_q6,2,no_response,1,29,True,mid,common,260,1
4,True,Overcast,temp_cool,Store,STILL,steps_q5,2,no_response,1,29,True,mid,common,207,1
5,False,MostlyCloudy,temp_cool,Store,STILL,steps_zero,0,no_send,1,29,True,mid,common,0,1
1,True,MostlyCloudy,temp_freezing,Healthcare,STILL,steps_q8,1,no_response,1,30,True,mid,common,475,1
2,False,Snow,temp_cool,Store,ON_MOVE,steps_high,0,no_send,1,30,True,mid,common,1204,1
3,True,Overcast,temp_cold,Restaurant,STILL,steps_q2,2,good,1,30,True,mid,common,50,1
4,True,Overcast,temp_freezing,Restaurant,STILL,steps_zero,2,good,1,30,True,mid,common,0,1
5,True,Overcast,temp_freezing,Park,STILL,steps_high,2,good,1,30,True,mid,common,2989,1
1,True,Clear,temp_mild,Store,STILL,steps_q3,2,good,1,31,True,mid,common,94,1
2,True,PartlyCloudy,temp_hot,Home,STILL,steps_q1,2,no_response,1,31,True,mid,common,19,1
3,True,PartlyCloudy,temp_mild,Home,STILL,steps_q7,2,no_response,1,31,True,mid,common,326,1
4,False,PartlyCloudy,temp_hot,Home,STILL,steps_zero,0,no_send,1,31,True,mid,common,0,1
5,True,Clear,temp_hot,Home,STILL,steps_q2,2,no_response,1,31,True,mid,common,42,1
1,True,Overcast,temp_cold,University,STILL,steps_zero,2,no_response,1,32,True,mid,common,0,1
2,False,Overcast,temp_cool,Home,STILL,steps_zero,0,no_send,1,32,True,mid,common,0,1
3,True,Overcast,temp_cool,University,STILL,steps_q2,1,bad,1,32,True,mid,common,39,1
4,False,MostlyCloudy,temp_cool,University,STILL,steps_q5,0,no_send,1,32,True,mid,common,206,1
5,False,Clear,temp_cool,University,STILL,steps_q7,0,no_send,1,32,True,mid,common,341,1
1,True,Overcast,temp_mild,Home,STILL,steps_q6,1,no_response,1,34,False,mid,common,252,1
2,False,Overcast,temp_mild,University,STILL,steps_q3,0,no_send,1,34,False,mid,common,74,1
3,False,Overcast,temp_mild,Home,STILL,steps_high,0,no_send,1,34,False,mid,common,1820,1
4,True,Overcast,temp_mild,University,STILL,steps_q4,1,no_response,1,34,False,mid,common,124,1
5,False,PartlyCloudy,temp_mild,Home,STILL,steps_q1,0,no_send,1,34,False,mid,common,21,1
1,True,MostlyCloudy,temp_mild,University,STILL,steps_q6,1,no_response,1,35,False,mid,common,295,1
2,True,Clear,temp_mild,University,STILL,steps_q2,1,no_response,1,35,False,mid,common,57,1
3,True,Overcast,temp_cool,University,STILL,steps_q7,1,good,1,35,False,mid,common,318,1
4,True,Clear,temp_mild,University,STILL,steps_high,1,good,1,35,False,mid,common,959,1
5,False,Overcast,temp_mild,University,STILL,steps_q1,0,no_send,1,35,False,mid,common,19,1
1,True,Clear,temp_hot,Home,STILL,steps_q4,2,no_response,1,36,True,mid,common,128,1
2,True,Clear,temp_warm,University,STILL,steps_q4,1,no_response,1,36,True,mid,common,116,1
3,True,Clear,temp_hot,Home,STILL,steps_q7,1,bad,1,36,True,mid,common,424,1
4,False,Clear,temp_warm,Home,STILL,steps_q6,2,no_response,1,36,True,mid,common,255,1
5,True,Clear,temp_warm,Home,STILL,steps_q1,1,no_response,1,36,True,mid,common,20,1
1,True,Overcast,temp_mild,Home,STILL,steps_zero,2,no_response,1,37,True,mid,common,0,1
2,False,Overcast,temp_mild,Home,STILL,steps_q2,2,bad,1,37,True,mid,common,64,1
4,False,PartlyCloudy,temp_mild,Home,STILL,steps_q4,0,no_send,1,37,True,mid,common,133,1
5,True,MostlyCloudy,temp_cool,University,STILL,steps_q2,1,bad,1,37,True,mid,common,62,1
1,True,Clear,temp_cold,Restaurant,STILL,steps_q3,2,bad,1,38,True,mid,common,78,1
2,True,PartlyCloudy,temp_cold,Work,STILL,steps_q6,2,no_response,1,38,True,mid,common,291,1
3,False,Clear,temp_cold,Restaurant,ON_MOVE,steps_q5,0,no_send,1,38,True,mid,common,215,1
4,True,Clear,temp_cold,Work,STILL,steps_high,1,bad,1,38,True,mid,common,974,1
5,True,Clear,temp_cold,Work,STILL,steps_q5,1,no_response,1,38,True,mid,common,206,1
1,True,PartlyCloudy,temp_mild,Restaurant,STILL,steps_high,2,no_response,1,39,True,mid,common,1061,1
2,True,MostlyCloudy,temp_warm,ElectronicsStore,STILL,steps_q3,1,no_response,1,39,True,mid,common,82,1
3,False,Clear,temp_warm,University,STILL,steps_high,0,no_send,1,39,True,mid,common,976,1
4,True,MostlyCloudy,temp_warm,ElectronicsStore,STILL,steps_zero,2,no_response,1,39,True,mid,common,0,1
5,False,Clear,temp_hot,Store,STILL,steps_zero,0,no_send,1,39,True,mid,common,0,1
1,True,Clear,temp_warm,Home,STILL,steps_q7,2,bad,1,40,True,mid,common,337,1
2,True,Clear,temp_warm,Home,STILL,steps_high,1,good,1,40,True,mid,common,3958,1
3,True,Clear,temp_warm,Home,STILL,steps_q8,1,no_response,1,40,True,mid,common,611,1
4,False,Clear,temp_warm,Home,STILL,steps_q6,0,no_send,1,40,True,mid,common,238,1
5,True,Clear,temp_warm,Home,STILL,steps_q4,1,no_response,1,40,True,mid,common,136,1
1,False,Rain,temp_cool,Home,STILL,steps_q8,0,no_send,1,42,False,mid,common,591,1
2,False,Overcast,temp_cool,Home,STILL,steps_q6,0,no_send,1,42,False,mid,common,291,1
3,True,Overcast,temp_cool,Home,STILL,steps_q6,2,no_response,1,42,False,mid,common,252,1
4,False,Overcast,temp_cool,Home,STILL,steps_q2,0,no_send,1,42,False,mid,common,66,1
5,False,Overcast,temp_cool,Home,STILL,steps_q5,2,no_response,1,42,False,mid,common,169,1
1,False,MostlyCloudy,temp_cool,Unknown,STILL,steps_q4,0,no_send,2,1,True,mid,common,151,2
2,False,Overcast,temp_cold,Home,STILL,steps_zero,0,no_send,2,1,True,mid,common,0,2
3,True,MostlyCloudy,temp_cold,Home,STILL,steps_q6,1,good,2,1,True,mid,common,293,2
4,True,MostlyCloudy,temp_cold,Park,STILL,steps_zero,1,good,2,1,True,mid,common,0,2
5,True,Clear,temp_cold,Work,STILL,steps_zero,2,no_response,2,1,True,mid,common,0,2
1,True,Overcast,temp_cool,Healthcare,STILL,steps_zero,2,no_response,2,2,True,mid,common,0,2
2,True,PartlyCloudy,temp_cool,Healthcare,STILL,steps_q4,2,no_response,2,2,True,mid,common,129,2
3,True,Overcast,temp_cool,Healthcare,STILL,steps_zero,2,good,2,2,True,mid,common,0,2
5,False,Clear,temp_cool,Healthcare,STILL,steps_q4,0,no_send,2,2,True,mid,common,148,2
1,True,Overcast,temp_warm,Home,STILL,steps_q4,2,good,2,3,True,mid,common,155,2
2,True,MostlyCloudy,temp_mild,Store,STILL,steps_high,1,good,2,3,True,mid,common,983,2
3,True,MostlyCloudy,temp_warm,Home,STILL,steps_q5,2,good,2,3,True,mid,common,220,2
4,True,Overcast,temp_mild,Store,STILL,steps_zero,2,no_response,2,3,True,mid,common,0,2
5,True,Overcast,temp_mild,Home,STILL,steps_q7,2,good,2,3,True,mid,common,331,2
1,True,Overcast,temp_mild,University,STILL,steps_zero,2,bad,2,4,True,mid,common,0,2
2,True,Overcast,temp_mild,Home,STILL,steps_q7,2,no_response,2,4,True,mid,common,447,2
3,False,Overcast,temp_mild,Home,STILL,steps_q7,0,no_send,2,4,True,mid,common,454,2
4,True,Rain,temp_warm,University,STILL,steps_q4,2,no_response,2,4,True,mid,common,135,2
5,True,Overcast,temp_warm,Home,STILL,steps_q5,2,good,2,4,True,mid,common,174,2
1,False,Rain,temp_warm,Store,STILL,steps_q8,0,no_send,2,5,True,mid,common,485,2
2,True,Overcast,temp_mild,Home,STILL,steps_q6,1,no_response,2,5,True,mid,common,303,2
3,True,PartlyCloudy,temp_warm,University,STILL,steps_zero,2,bad,2,5,True,mid,common,0,2
4,False,Overcast,temp_mild,Home,STILL,steps_q4,0,no_send,2,5,True,mid,common,124,2
5,True,PartlyCloudy,temp_hot,Store,STILL,steps_zero,2,no_response,2,5,True,mid,common,0,2
1,False,Overcast,temp_cool,Home,STILL,steps_q7,0,no_send,2,6,False,mid,common,326,2
2,True,Rain,temp_cool,Home,STILL,steps_high,1,no_response,2,6,False,mid,common,1642,2
3,True,Overcast,temp_cool,Home,STILL,steps_zero,1,no_response,2,6,False,mid,common,0,2
4,True,Overcast,temp_cool,Home,STILL,steps_q7,1,good,2,6,False,mid,common,329,2
5,False,Overcast,temp_cool,Home,STILL,steps_q6,0,no_send,2,6,False,mid,common,233,2
1,False,MostlyCloudy,temp_cool,Home,STILL,steps_q8,0,no_send,2,7,False,mid,common,519,2
3,False,MostlyCloudy,temp_cool,Home,STILL,steps_zero,0,no_send,2,7,False,mid,common,0,2
4,True,MostlyCloudy,temp_cool,Home,STILL,steps_high,2,no_response,2,7,False,mid,common,3293,2
5,True,MostlyCloudy,temp_cool,Store,ON_MOVE,steps_high,0,no_send,2,7,False,mid,common,1014,2
1,True,Clear,temp_cool,University,STILL,steps_q7,2,good,2,8,True,mid,common,450,2
2,False,MostlyCloudy,temp_cool,University,STILL,steps_q7,0,no_send,2,8,True,mid,common,439,2
3,True,Overcast,temp_cool,University,STILL,steps_q7,1,good,2,8,True,mid,common,411,2
4,False,Overcast,temp_cool,FurnitureStore,STILL,steps_q4,0,no_send,2,8,True,mid,common,144,2
5,True,Clear,temp_cool,University,ON_MOVE,steps_q6,0,no_send,2,8,True,mid,common,255,2
1,True,MostlyCloudy,temp_mild,Home,STILL,steps_q3,2,no_response,2,9,True,mid,common,85,2
2,True,PartlyCloudy,temp_mild,University,STILL,steps_zero,1,no_response,2,9,True,mid,common,0,2
3,True,Rain,temp_mild,University,STILL,steps_q6,2,no_response,2,9,True,mid,common,300,2
4,False,PartlyCloudy,temp_hot,Home,STILL,steps_q2,2,good,2,9,True,mid,common,45,2
5,True,Clear,temp_mild,Work,STILL,steps_q7,1,no_response,2,9,True,mid,common,344,2
1,False,Clear,temp_cold,University,STILL,steps_q1,0,no_send,2,10,True,mid,common,36,2
2,True,Clear,temp_cold,Store,STILL,steps_q7,1,bad,2,10,True,mid,common,460,2
3,True,Clear,temp_cool,Store,STILL,steps_zero,2,bad,2,10,True,mid,common,0,2
4,False,Clear,temp_cold,Healthcare,STILL,steps_q5,0,no_send,2,10,True,mid,common,174,2
5,True,Clear,temp_cool,Store,STILL,steps_q1,2,no_response,2,10,True,mid,common,18,2
1,False,Clear,temp_hot,Home,STILL,steps_q7,0,no_send,2,13,False,mid,common,423,2
2,True,MostlyCloudy,temp_hot,University,STILL,steps_q3,2,no_response,2,13,False,mid,common,88,2
3,False,Overcast,temp_hot,Home,STILL,steps_q1,0,no_send,2,13,False,mid,common,18,2
4,True,MostlyCloudy,temp_warm,Home,STILL,steps_zero,2,good,2,13,False,mid,common,0,2
5,True,PartlyCloudy,temp_warm,Home,STILL,steps_q7,2,good,2,13,False,mid,common,371,2
1,False,Overcast,temp_cold,Gym,STILL,steps_q7,0,no_send,2,15,True,mid,common,397,2
2,False,Overcast,temp_cool,FurnitureStore,STILL,steps_q4,0,no_send,2,15,True,mid,common,144,2
3,True,MostlyCloudy,temp_cool,FurnitureStore,STILL,steps_q4,2,no_response,2,15,True,mid,common,120,2
4,False,Rain,temp_cold,Store,STILL,steps_q3,0,no_send,2,15,True,mid,common,107,2
5,False,Overcast,temp_cool,University,ON_MOVE,steps_q1,0,no_send,2,15,True,mid,common,21,2
1,True,MostlyCloudy,temp_mild,Home,STILL,steps_q4,1,good,2,16,True,mid,common,139,2
2,False,Overcast,temp_cool,Home,STILL,steps_q8,2,good,2,16,True,mid,common,479,2
3,False,Overcast,temp_mild,Store,STILL,steps_q2,0,no_send,2,16,True,mid,common,58,2
4,True,Overcast,temp_mild,Home,STILL,steps_q7,2,good,2,16,True,mid,common,395,2
5,False,MostlyCloudy,temp_warm,Home,STILL,steps_q2,0,no_send,2,16,True,mid,common,45,2
1,True,Clear,temp_cool,Home,STILL,steps_q1,1,no_response,2,18,True,mid,common,25,2
2,True,Overcast,temp_mild,Restaurant,STILL,steps_q2,1,no_response,2,18,True,mid,common,63,2
3,True,Clear,temp_mild,University,STILL,steps_q6,1,good,2,18,True,mid,common,291,2
4,True,Clear,temp_mild,University,STILL,steps_zero,2,good,2,18,True,mid,common,0,2
5,False,Clear,temp_cool,Home,STILL,steps_zero,0,no_send,2,18,True,mid,common,0,2
1,False,Clear,temp_mild,Home,STILL,steps_q7,0,no_send,2,21,False,mid,common,445,2
2,False,Clear,temp_warm,Home,STILL,steps_high,0,no_send,2,21,False,mid,common,1168,2
3,False,Clear,temp_warm,University,STILL,steps_zero,0,no_send,2,21,False,mid,common,0,2
4,False,Clear,temp_warm,University,ON_MOVE,steps_q8,0,no_send,2,21,False,mid,common,572,2
5,True,PartlyCloudy,temp_mild,Home,ON_MOVE,steps_high,0,no_send,2,21,False,mid,common,1547,2
1,False,MostlyCloudy,temp_mild,Home,STILL,steps_zero,0,no_send,2,23,True,mid,common,0,2
3,True,PartlyCloudy,temp_warm,Home,STILL,steps_zero,2,bad,2,23,True,mid,common,0,2
4,True,MostlyCloudy,temp_warm,University,STILL,steps_zero,1,bad,2,23,True,mid,common,0,2
1,True,Clear,temp_hot,University,STILL,steps_zero,1,no_response,2,25,True,mid,common,0,2
2,True,Clear,temp_warm,University,STILL,steps_zero,2,no_response,2,25,True,mid,common,0,2
4,True,Clear,temp_warm,University,STILL,steps_q6,2,no_response,2,25,True,mid,common,299,2
5,True,Clear,temp_warm,University,STILL,steps_high,2,no_response,2,25,True,mid,common,940,2
1,True,PartlyCloudy,temp_warm,Home,STILL,steps_q8,1,no_response,2,27,False,mid,common,637,2
2,True,Clear,temp_warm,Home,STILL,steps_q8,1,good,2,27,False,mid,common,540,2
5,False,Clear,temp_mild,Home,STILL,steps_q7,0,no_send,2,27,False,mid,common,367,2
1,True,Clear,temp_cold,Home,STILL,steps_zero,1,good,2,28,False,mid,common,0,2
2,True,Overcast,temp_cool,Home,STILL,steps_zero,1,good,2,28,False,mid,common,0,2
3,True,Overcast,temp_cool,University,STILL,steps_q8,2,no_response,2,28,False,mid,common,514,2
4,False,Overcast,temp_mild,Home,STILL,steps_q8,0,no_send,2,28,False,mid,common,805,2
5,True,Overcast,temp_cool,Home,STILL,steps_zero,1,no_response,2,28,False,mid,common,0,2
1,False,Overcast,temp_mild,Home,STILL,steps_zero,0,no_send,2,29,True,mid,common,0,2
2,True,PartlyCloudy,temp_mild,Work,STILL,steps_q7,1,good,2,29,True,mid,common,365,2
3,True,Rain,temp_mild,Home,STILL,steps_q1,1,no_response,2,29,True,mid,common,20,2
4,False,PartlyCloudy,temp_cool,Home,STILL,steps_q1,0,no_send,2,29,True,mid,common,32,2
5,True,Clear,temp_mild,Work,STILL,steps_q2,1,good,2,29,True,mid,common,41,2
1,False,Clear,temp_warm,Home,STILL,steps_q3,0,no_send,2,30,True,mid,common,84,2
2,False,Clear,temp_warm,Home,STILL,steps_q5,0,no_send,2,30,True,mid,common,220,2
3,False,Clear,temp_warm,Home,STILL,steps_q6,0,no_send,2,30,True,mid,common,235,2
4,True,Clear,temp_hot,Home,STILL,steps_q2,2,good,2,30,True,mid,common,60,2
5,True,Clear,temp_mild,University,STILL,steps_q8,2,no_response,2,30,True,mid,common,495,2
1,True,Overcast,temp_cool,Home,STILL,steps_zero,1,no_response,2,32,True,mid,common,0,2
2,True,Overcast,temp_cool,Work,STILL,steps_high,1,no_response,2,32,True,mid,common,3612,2
3,False,MostlyCloudy,temp_mild,Home,STILL,steps_zero,0,no_send,2,32,True,mid,common,0,2
4,False,Clear,temp_mild,Work,STILL,steps_zero,0,no_send,2,32,True,mid,common,0,2
5,False,Overcast,temp_cool,Home,STILL,steps_zero,0,no_send,2,32,True,mid,common,0,2
1,True,Clear,temp_mild,Healthcare,STILL,steps_q6,2,good,2,33,True,mid,common,285,2
2,True,Clear,temp_mild,Healthcare,STILL,steps_zero,2,bad,2,33,True,mid,common,0,2
3,True,Clear,temp_mild,Healthcare,STILL,steps_q2,1,no_response,2,33,True,mid,common,42,2
4,True,Clear,temp_hot,Healthcare,STILL,steps_q6,2,bad,2,33,True,mid,common,294,2
5,False,Clear,temp_mild,Store,STILL,steps_q1,0,no_send,2,33,True,mid,common,13,2
1,False,Overcast,temp_cold,Store,STILL,steps_q5,0,no_send,2,35,False,mid,common,166,2
2,True,Overcast,temp_cold,Home,STILL,steps_q2,2,bad,2,35,False,mid,common,51,2
3,True,Overcast,temp_cold,Restaurant,STILL,steps_q7,1,no_response,2,35,False,mid,common,382,2
4,False,Overcast,temp_cold,ClothingStore,ON_MOVE,steps_q1,0,no_send,2,35,False,mid,common,31,2
5,False,Overcast,temp_cold,Restaurant,STILL,steps_q6,0,no_send,2,35,False,mid,common,299,2
1,False,PartlyCloudy,temp_cool,Work,STILL,steps_q3,0,no_send,2,36,True,mid,common,91,2
2,False,Overcast,temp_mild,Work,STILL,steps_zero,0,no_send,2,36,True,mid,common,0,2
3,True,MostlyCloudy,temp_mild,Work,STILL,steps_q7,1,no_response,2,36,True,mid,common,362,2
4,False,MostlyCloudy,temp_mild,Restaurant,STILL,steps_zero,0,no_send,2,36,True,mid,common,0,2
5,True,Clear,temp_cool,Home,STILL,steps_q8,2,good,2,36,True,mid,common,679,2
1,True,Rain,temp_mild,University,STILL,steps_q2,1,good,2,37,True,mid,common,52,2
3,False,PartlyCloudy,temp_mild,Healthcare,STILL,steps_q8,0,no_send,2,37,True,mid,common,466,2
4,True,Clear,temp_mild,Store,STILL,steps_q5,2,good,2,37,True,mid,common,202,2
5,True,PartlyCloudy,temp_mild,Healthcare,STILL,steps_q3,2,bad,2,37,True,mid,common,92,2
1,True,Clear,temp_warm,Home,STILL,steps_zero,2,good,2,38,True,mid,common,0,2
2,True,PartlyCloudy,temp_hot,University,STILL,steps_q5,2,no_response,2,38,True,mid,common,184,2
3,False,PartlyCloudy,temp_warm,Home,ON_MOVE,steps_q5,0,no_send,2,38,True,mid,common,173,2
4,False,Clear,temp_warm,Restaurant,ON_MOVE,steps_high,0,no_send,2,38,True,mid,common,1168,2
5,True,Clear,temp_mild,University,STILL,steps_q7,2,good,2,38,True,mid,common,367,2
1,True,Overcast,temp_mild,Home,STILL,steps_zero,1,no_response,2,39,True,mid,common,0,2
2,False,Overcast,temp_mild,Home,STILL,steps_q7,0,no_send,2,39,True,mid,common,365,2
3,True,Overcast,temp_mild,Home,STILL,steps_q8,1,no_response,2,39,True,mid,common,480,2
4,True,Overcast,temp_mild,Home,STILL,steps_q6,2,no_response,2,39,True,mid,common,295,2
5,False,Overcast,temp_mild,Home,STILL,steps_zero,0,no_send,2,39,True,mid,common,0,2
1,True,MostlyCloudy,temp_mild,Healthcare,STILL,steps_q2,2,good,2,40,True,mid,common,56,2
2,True,PartlyCloudy,temp_cool,Store,STILL,steps_zero,2,no_response,2,40,True,mid,common,0,2
3,False,Overcast,temp_mild,Store,STILL,steps_q6,0,no_send,2,40,True,mid,common,269,2
4,True,Overcast,temp_cool,Store,STILL,steps_q7,1,bad,2,40,True,mid,common,392,2
5,False,Clear,temp_cool,Healthcare,STILL,steps_q6,0,no_send,2,40,True,mid,common,285,2
1,True,Fog,temp_cold,Store,STILL,steps_zero,2,no_response,2,41,False,mid,common,0,2
3,True,Clear,temp_cold,Store,STILL,steps_q2,2,good,2,41,False,mid,common,53,2
4,False,Clear,temp_cold,Store,STILL,steps_q7,0,no_send,2,41,False,mid,common,397,2
5,True,Clear,temp_cold,Store,STILL,steps_q4,2,no_response,2,41,False,mid,common,133,2
